rmse_x,rmse_y,rmse_vx,rmse_vy
Listening to port 4567
Connected!!!
nis
0.287757,0.0196602,5.19994,0
0.21633,0.0348548,3.96324,0.00127057
0.176727,0.0537196,3.36723,1.54421
0.163382,0.0520493,3.07108,1.45825
0.14618,0.0536242,2.88341,1.33168
0.134312,0.0525874,2.64848,1.2288
0.124386,0.0512422,2.46611,1.14456
0.117166,0.0485402,2.30789,1.07182
0.110913,0.0472471,2.17683,1.01237
0.105522,0.046263,2.06577,0.961179
0.101947,0.0455636,1.96993,0.917306
0.0979019,0.0476902,1.88662,0.897669
0.0942249,0.0675253,1.81315,0.935671
0.0913505,0.0709935,1.749,0.918666
0.0893129,0.0748593,1.69136,0.901817
0.0873388,0.0750947,1.63791,0.877671
0.0851388,0.0732041,1.58929,0.852642
0.0832931,0.0712177,1.54542,0.828872
0.0810716,0.0693547,1.50442,0.806799
0.0790213,0.0677298,1.46651,0.786477
0.077759,0.0663356,1.43171,0.767804
0.0762153,0.0693145,1.39887,0.755192
0.0746762,0.0680716,1.36822,0.738928
0.0731626,0.0667646,1.33961,0.723562
0.0716857,0.0661826,1.31274,0.709796
0.0703377,0.0673175,1.28866,0.698475
0.0699469,0.0665939,1.26653,0.686144
0.0687367,0.0664164,1.24381,0.674663
0.0675791,0.0688791,1.22229,0.665828
0.0665362,0.0721353,1.20204,0.658402
0.0658287,0.0766876,1.18283,0.652372
0.0648762,0.0782965,1.16482,0.644018
0.0640511,0.079342,1.1475,0.635686
0.0631459,0.0806092,1.13113,0.627963
0.0622397,0.0826363,1.11531,0.621157
0.061633,0.0837393,1.10052,0.614007
0.0617524,0.0830362,1.08662,0.60594
0.0617851,0.0820768,1.07223,0.598277
0.0612146,0.0810534,1.05843,0.590823
0.0605036,0.0800468,1.04608,0.583924
0.0598173,0.0793554,1.03436,0.577908
0.0591182,0.0789854,1.02198,0.571991
0.0588801,0.0790977,1.01008,0.566696
0.0584471,0.0798836,0.998543,0.562454
0.0578752,0.0811457,0.987399,0.558787
0.0575645,0.0822174,0.977042,0.554463
0.0573761,0.085109,0.967084,0.551658
0.0576233,0.0889681,0.958311,0.549238
0.0573011,0.0913154,0.949339,0.545973
0.0577458,0.0931702,0.942251,0.541966
0.0577113,0.0939501,0.93475,0.537503
0.057155,0.0943537,0.925727,0.534177
0.0566986,0.0945059,0.916961,0.530579
0.0562292,0.0948938,0.908444,0.527294
0.0558159,0.0945751,0.900185,0.52333
0.0558329,0.0943603,0.893095,0.518993
0.0556317,0.0949564,0.886002,0.515408
0.0557389,0.0950658,0.879804,0.51133
0.0559034,0.0944051,0.873654,0.506992
0.056108,0.0936708,0.866674,0.502917
0.0564574,0.0929648,0.859901,0.498778
0.0569314,0.0922222,0.85326,0.494784
0.0577983,0.0915133,0.846896,0.490869
0.0586141,0.090804,0.840282,0.487465
0.0593433,0.0903647,0.833831,0.483779
0.0605885,0.0899511,0.827751,0.480109
0.0613817,0.0896774,0.821737,0.476514
0.0616118,0.0893042,0.815902,0.473987
0.0614785,0.0898489,0.810228,0.470748
0.0613127,0.0900049,0.80457,0.467677
0.0609554,0.0904401,0.799064,0.464543
0.0605609,0.0903743,0.79371,0.461878
0.0602448,0.089915,0.788341,0.459714
0.0598809,0.0893871,0.783193,0.458285
0.0595762,0.0890074,0.778038,0.456221
0.0592977,0.0886837,0.772908,0.453726
0.0589152,0.089101,0.7679,0.450821
0.0585364,0.0895324,0.763015,0.448046
0.0581656,0.0892674,0.758194,0.445806
0.0578192,0.0890677,0.753497,0.443073
0.058021,0.0885522,0.749175,0.440692
0.0578631,0.0880177,0.744605,0.440231
0.0575358,0.0876752,0.740107,0.438315
0.0572487,0.0872632,0.735744,0.436168
0.0569174,0.0868848,0.73142,0.433981
0.0566015,0.0864603,0.727246,0.431584
0.0563187,0.086074,0.723168,0.430084
0.05603,0.0858917,0.719157,0.4293
0.0559477,0.0861442,0.715594,0.428861
0.0558662,0.0867179,0.711976,0.429563
0.0564734,0.0870737,0.708807,0.429165
0.0568595,0.0880334,0.705343,0.431359
0.057546,0.0886167,0.702097,0.431897
0.0583163,0.0889149,0.699173,0.430554
0.059001,0.0886573,0.696199,0.428452
0.059352,0.0886201,0.69291,0.427624
0.0599316,0.088218,0.689701,0.425725
0.0604394,0.0877745,0.686524,0.423596
0.061036,0.0873334,0.68342,0.421471
0.0609695,0.087004,0.680029,0.421835
0.0614856,0.0866271,0.676795,0.421247
0.062166,0.0862447,0.673777,0.419228
0.0625131,0.0859349,0.670624,0.41738
0.0625135,0.0855284,0.667415,0.41594
0.0628674,0.0851359,0.6643,0.414307
0.0634342,0.0847398,0.661285,0.413065
0.063796,0.084422,0.658297,0.412028
0.0641062,0.0841655,0.65535,0.410672
0.0644647,0.0837793,0.652403,0.408836
0.0647949,0.0834497,0.649509,0.407458
0.064917,0.083081,0.646589,0.405662
0.0649219,0.0827092,0.643701,0.403933
0.064639,0.0824648,0.640933,0.402175
0.0643601,0.0821584,0.638174,0.400453
0.0642742,0.0818148,0.635394,0.398708
0.0640714,0.0815329,0.632667,0.399181
0.0643895,0.0815658,0.630173,0.400528
0.0649063,0.0820093,0.627792,0.401877
0.0651228,0.0821938,0.625245,0.401824
0.0653964,0.0825076,0.622715,0.401043
0.0656155,0.0831568,0.620219,0.400424
0.065925,0.084148,0.61779,0.400046
0.0659212,0.0846026,0.615275,0.398819
0.0657898,0.0852856,0.612789,0.398487
0.0655741,0.0851268,0.610786,0.396965
0.0653139,0.0849009,0.60859,0.395406
0.065543,0.0845968,0.60715,0.393988
0.0657618,0.0842725,0.605527,0.392774
0.0656698,0.0839847,0.603431,0.39132
0.0656662,0.083805,0.601315,0.389818
0.0654163,0.0841372,0.599026,0.388762
0.0652628,0.0844688,0.596882,0.387667
0.0650179,0.0844582,0.594635,0.386239
0.064775,0.0846626,0.592415,0.384929
0.0646008,0.0852061,0.590316,0.383847
0.0645278,0.0855356,0.588286,0.38259
0.0643144,0.0861208,0.586171,0.381364
0.0641013,0.0864828,0.584053,0.380036
0.0639337,0.0864405,0.582071,0.378696
0.0638435,0.086801,0.580111,0.377368
0.0637721,0.08696,0.578191,0.37603
0.0635725,0.0871605,0.576164,0.374723
0.0635458,0.0869992,0.574211,0.373475
0.0635828,0.0867075,0.572291,0.372433
0.0633802,0.0864093,0.570321,0.371352
0.0631999,0.0861237,0.568365,0.370223
0.0629951,0.0858324,0.566433,0.369196
0.0628453,0.0855571,0.564551,0.368252
0.0627653,0.0852763,0.562706,0.367248
0.0627761,0.0850064,0.560988,0.366252
0.0632631,0.084743,0.559579,0.365261
0.0641316,0.0844647,0.5588,0.364146
0.0648734,0.0842016,0.557599,0.36296
0.0655836,0.0839292,0.556232,0.361786
0.0655348,0.08368,0.554436,0.360628
0.0656749,0.083417,0.55275,0.359475
0.0658234,0.0831524,0.551063,0.358333
0.0659811,0.0828909,0.549449,0.357214
0.0660332,0.0827586,0.547742,0.35626
0.0661595,0.0827428,0.546077,0.355445
0.0660146,0.082852,0.544399,0.354756
0.065966,0.0832442,0.542718,0.354339
0.0657645,0.0840257,0.541168,0.354198
0.0655638,0.0847615,0.540109,0.353791
0.0655183,0.0849601,0.538558,0.353049
0.0654235,0.0851357,0.537056,0.352286
0.065256,0.0854138,0.536043,0.351565
0.0652518,0.0855988,0.5363,0.350629
0.0657465,0.0858266,0.53714,0.349694
0.0666774,0.0860585,0.537598,0.348804
0.0666586,0.0860702,0.536528,0.347855
0.0669,0.0862307,0.535636,0.346988
0.066738,0.0864926,0.534188,0.34621
0.0666027,0.0868283,0.532777,0.345475
0.0664231,0.0871942,0.531302,0.344768
0.0662744,0.0875728,0.529807,0.344199
0.0663583,0.0877347,0.528562,0.343518
0.0664647,0.0879154,0.527127,0.34271
0.0669405,0.0880193,0.525832,0.34188
0.0673296,0.0880629,0.524386,0.340959
0.0679324,0.0880317,0.522982,0.340032
0.0683763,0.087923,0.521549,0.339097
0.069377,0.087744,0.520225,0.33817
0.0708126,0.0876316,0.519261,0.337339
0.0713691,0.0875218,0.517897,0.336489
0.0718082,0.087492,0.516516,0.335709
0.0721739,0.0873379,0.515134,0.334852
0.0722227,0.0871293,0.513976,0.333988
0.0720587,0.0869264,0.513128,0.333132
0.071931,0.0867335,0.511906,0.332283
0.0717496,0.0865124,0.510815,0.331416
0.0715776,0.0862876,0.510206,0.330595
0.0717418,0.0860651,0.51027,0.329824
0.0717973,0.0858432,0.509143,0.329319
